maneuverId,secondsSinceStart,timeJulianDay,TimeUtcYear,TimeUtcMonth,TimeUtcDay,TimeUtcHour,TimeUtcMinute,TimeUtcSeconds,dVEciX,dVEciY,dVEciZ,dVLvlhX,dVLvlhY,dVLvlhZ,dVBodyX,dVBodyY,dVBodyZ,dVMagnitude,WaypointX,WaypointY,WaypointZ,WaypointTransferTime
1,344697.604,2460749.54534264,2025,3,15,1,5,17.604,-0.079869702914562,0.0475891512122331,0.000505396939450901,-0.0794943469017182,0.048216190159498,0,-0.0447201599647214,-0.00361499544309089,0.0814321268511621,0.0929739328135988,NaN,NaN,NaN,NaN
2,387785.617,2460750.04404649,2025,3,15,13,3,25.617,-0.0136174290083315,-0.0517396910514148,-0.000422083205765742,0.0140598253922204,0.0516229548463245,0,-0.0512674937939116,-0.00158409366177306,0.0152231036417463,0.0535033471581488,NaN,NaN,NaN,NaN
3,581439.463,2460752.28541046,2025,3,17,18,50,59.463,-0.0295240640757886,0.00962524284265868,0.365468125248966,-0.0123331985779345,-0.0301668803643536,0.365334254860183,0.013003708311389,-0.0583266754442899,0.361884192434671,0.366785040905876,NaN,NaN,NaN,NaN
4,620639.463,2460752.73911416,2025,3,18,5,44,19.463,0.00544427270747704,0.490224795481592,0.150095355357414,0.473076576321173,0.133376365261482,0.145903749218527,-0.491460605742336,0.139347201491225,0.0439025779435587,0.51271688670274,0,10000,2000,21543
5,642182.269,2460752.98845219,2025,3,18,11,43,22.27,-0.160738087404605,-0.195066695127658,-0.00233701704318093,0.0984762275491302,0.232797924764359,-0.000876796599641247,0.185551421421628,-0.0826394132237303,0.15044802201966,0.25277106230575,5000,0,0,21543
6,663725.249,2460753.23779223,2025,3,18,17,42,25.249,0.00449803979255581,-0.00100776810041938,-0.000333333825648876,-0.000347225264279289,0.00459748535825788,-0.000318799239978212,0.000950419128088521,0.000997237477944632,-0.00441149530800002,0.00462158738519138,0,-10000,-2000,21543
7,685268.186,2460753.48713178,2025,3,18,23,41,28.186,0.00862247968966376,-0.00540658906359555,0.000219543007601288,0.00981512822924602,-0.00268569756149738,0.000277212707260374,0.00466675307763307,0.00378161298178085,-0.00821872127534878,0.0101797131803132,-5000,0,0,21543
8,706811.085,2460753.73647089,2025,3,19,5,40,31.085,-0.00253723142980894,-0.000378848484859229,-0.000328605345580919,-0.00107983578431967,0.00232700799393648,-0.000328693551949644,0.000404643226205477,-0.00103191861025099,0.00233676246489422,0.00258631996783747,0,10000,2000,21543
9,728354.042,2460753.98581067,2025,3,19,11,39,34.042,-0.00935712348439011,0.00526415290181092,0.000442054573367759,0.0104698966248152,-0.00238662306579759,0.000384412446585705,-0.005500082195794,-0.00109607460363899,0.00916570751357319,0.0107453468032262,5000,0,0,21543
10,749896.795,2460754.23514809,2025,3,19,17,38,36.795,0.00846507505177671,-0.0389082651131877,0.218093121158962,0.0330366909158781,0.018618366576984,0.21843088967896,0.0377005282124515,0.211439343261692,0.0549744884485056,0.221698263607562,0,5000,-1000,64628.9
