secondsSinceStart,secondsSinceManeuer,timeJulianDate,timeUtcYear,timeUtcMonth,timeUtcDay,timeUtcHour,timeUtcMinute,timeUtcSeconds,positionDepRelToChiefLvlhX,positionDepRelToChiefLvlhY,positionDepRelToChiefLvlhZ,relativeRange,relativeVelocity
706811.085,0,2460753.73647089,2025,3,19,5,40,31.085,-4983.1783375442,12.5810176390344,13.6460804197704,4983.21290346755,0.73942221782062
706871.085,60,2460753.73716533,2025,3,19,5,41,31.085,-4983.12253049016,56.0705635263627,22.4153932782356,4983.48838784928,0.739406336204419
706931.084,120,2460753.73785977,2025,3,19,5,42,31.085,-4982.97258349508,99.558674384859,31.1842713593505,4984.06462200172,0.739379739915173
706991.084,180,2460753.73855422,2025,3,19,5,43,31.085,-4982.72850644588,143.044524640333,39.9525462625315,4984.94145511568,0.739342430622692
707051.084,240,2460753.73924866,2025,3,19,5,44,31.084,-4982.39031106234,186.527288853567,48.7200496114674,4986.11865928691,0.739294410343946
707111.084,300,2460753.73994311,2025,3,19,5,45,31.084,-4981.95801086724,230.006141721128,57.4866130573209,4987.59592969945,0.739235681442666
707171.085,360,2460753.74063755,2025,3,19,5,46,31.085,-4981.43162118644,273.480258139006,66.252068281814,4989.37288491244,0.73916624663744
707231.085,420,2460753.741332,2025,3,19,5,47,31.085,-4980.81115923077,316.948813153935,75.0162470004871,4991.44906729413,0.739086108993311
707291.085,480,2460753.74202644,2025,3,19,5,48,31.085,-4980.09664395452,360.410982027834,83.7789809659589,4993.82394330687,0.738995271926375
707351.085,540,2460753.74272089,2025,3,19,5,49,31.085,-4979.2880961895,403.86594024026,92.5401019717683,4996.49690413329,0.738893739202961
707411.085,600,2460753.74341533,2025,3,19,5,50,31.085,-4978.38553857803,447.312863495937,101.299441854935,4999.46726616866,0.738781514940276
707471.085,660,2460753.74410977,2025,3,19,5,51,31.085,-4977.38899549842,490.750927757848,110.056832499104,5002.73427157426,0.738658603597605
707531.085,720,2460753.74480422,2025,3,19,5,52,31.085,-4976.29849328101,534.179309233266,118.812105838384,5006.29708918054,0.738525009994342
707591.084,780,2460753.74549866,2025,3,19,5,53,31.085,-4975.11405996978,577.597184433788,127.565093860263,5010.15481500786,0.738380739291899
707651.084,840,2460753.74619311,2025,3,19,5,54,31.085,-4973.83572545648,621.003730143603,136.315628609504,5014.30647321069,0.738225797004168
707711.084,900,2460753.74688755,2025,3,19,5,55,31.085,-4972.46352144331,664.398123478554,145.063542189309,5018.75101692032,0.738060188992879
707771.084,960,2460753.747582,2025,3,19,5,56,31.084,-4970.99748143554,707.779541872051,153.808666767669,5023.48732916725,0.737883921471367
707831.085,1020,2460753.74827644,2025,3,19,5,57,31.085,-4969.43764075637,751.147163097779,162.550834578171,5028.51422388543,0.737697001001771
707891.085,1080,2460753.74897089,2025,3,19,5,58,31.085,-4967.78403652459,794.500165297511,171.289877924195,5033.83044693458,0.737499434492628
707951.085,1140,2460753.74966533,2025,3,19,5,59,31.085,-4966.03670772165,837.83772698423,180.025629181939,5039.43467725888,0.73729122921119
708011.085,1200,2460753.75035977,2025,3,19,6,0,31.085,-4964.19569503516,881.159027058769,188.75792080391,5045.32552787617,0.737072392764165
708071.085,1260,2460753.75105422,2025,3,19,6,1,31.085,-4962.26104105264,924.463244836235,197.486585321662,5051.50154726137,0.736842933113245
708131.085,1320,2460753.75174866,2025,3,19,6,2,31.085,-4960.23279009014,967.749560054273,206.211455349694,5057.96122041165,0.736602858568251
708191.085,1380,2460753.75244311,2025,3,19,6,3,31.085,-4958.11098834127,1011.01715287903,214.932363588188,5064.70297026822,0.736352177793814
708251.085,1440,2460753.75313755,2025,3,19,6,4,31.085,-4955.89568373561,1054.26520394885,223.649142826092,5071.72515889942,0.736090899796883
708311.084,1500,2460753.753832,2025,3,19,6,5,31.085,-4953.58692602813,1097.49289435514,232.361625944846,5079.02608893562,0.735819033943091
708371.084,1560,2460753.75452644,2025,3,19,6,6,31.085,-4951.18476676941,1140.69940568893,241.06964592135,5086.60400493425,0.735536589940805
708431.084,1620,2460753.75522089,2025,3,19,6,7,31.084,-4948.68925932795,1183.88392003668,249.773035831109,5094.45709481761,0.735243577856637
708491.084,1680,2460753.75591533,2025,3,19,6,8,31.084,-4946.10045881569,1227.04562000366,258.471628851607,5102.58349125109,0.73494000810353
708551.085,1740,2460753.75660977,2025,3,19,6,9,31.085,-4943.41842218488,1270.1836887294,267.165258265217,5110.9812732131,0.734625891446574
708611.085,1800,2460753.75730422,2025,3,19,6,10,31.085,-4940.64320815355,1313.29730990279,275.853757462872,5119.64846742216,0.734301239001253
708671.085,1860,2460753.75799866,2025,3,19,6,11,31.085,-4937.77487723529,1356.38566778043,284.536959946912,5128.58304988737,0.7339660622376
708731.085,1920,2460753.75869311,2025,3,19,6,12,31.085,-4934.81349173933,1399.44794719439,293.21469933429,5137.7829474458,0.733620372975807
708791.085,1980,2460753.75938755,2025,3,19,6,13,31.085,-4931.75911574066,1442.48333357447,301.886809359945,5147.24603929098,0.733264183385063
708851.085,2040,2460753.760082,2025,3,19,6,14,31.085,-4928.6118151173,1485.49101297187,310.553123879712,5156.97015858008,0.732897505990372
708911.085,2100,2460753.76077644,2025,3,19,6,15,31.085,-4925.37165751308,1528.47017205088,319.213476873992,5166.95309397138,0.732520353670861
708971.084,2160,2460753.76147089,2025,3,19,6,16,31.085,-4922.03871238232,1571.41999812953,327.86770245072,5177.19259126236,0.732132739657412
709031.084,2220,2460753.76216533,2025,3,19,6,17,31.085,-4918.6130509451,1614.33967918073,336.515634847921,5187.68635493723,0.731734677533723
709091.084,2280,2460753.76285977,2025,3,19,6,18,31.084,-4915.09474616498,1657.2284038517,345.157108438143,5198.43204974508,0.731326181234715
709151.084,2340,2460753.76355422,2025,3,19,6,19,31.084,-4911.48387280852,1700.08536148296,353.791957730253,5209.42730235689,0.730907265051762
709211.085,2400,2460753.76424866,2025,3,19,6,20,31.085,-4907.78050744534,1742.90974211594,362.420017374156,5220.66970296116,0.730477943634165
709271.085,2460,2460753.76494311,2025,3,19,6,21,31.085,-4903.98472832888,1785.70073651959,371.041122162133,5232.15680675043,0.730038231978519
709331.085,2520,2460753.76563755,2025,3,19,6,22,31.085,-4900.0966155678,1828.45753619354,379.655107033555,5243.88613566872,0.729588145442603
709391.085,2580,2460753.766332,2025,3,19,6,23,31.085,-4896.11625099182,1871.1793333941,388.261807077215,5255.85517987152,0.729127699736076
709451.085,2640,2460753.76702644,2025,3,19,6,24,31.085,-4892.0437182337,1913.86532114042,396.861057534872,5268.06139937278,0.728656910930558
709511.085,2700,2460753.76772089,2025,3,19,6,25,31.085,-4887.87910261005,1956.51469323747,405.452693804342,5280.50222549895,0.72817579544448
709571.085,2760,2460753.76841533,2025,3,19,6,26,31.085,-4883.62249131501,1999.1266442909,414.036551442055,5293.17506261805,0.72768437006521
709631.084,2820,2460753.76910977,2025,3,19,6,27,31.085,-4879.27397316694,2041.70036971449,422.612466167542,5306.07728943678,0.727182651925981
709691.084,2880,2460753.76980422,2025,3,19,6,28,31.085,-4874.83363885432,2084.23506575689,431.180273864826,5319.20626075042,0.726670658526742
709751.084,2940,2460753.77049866,2025,3,19,6,29,31.084,-4870.30158074945,2126.72992950618,439.73981058714,5332.55930876753,0.726148407720418
709811.084,3000,2460753.77119311,2025,3,19,6,30,31.084,-4865.67789299041,2169.18415891504,448.290912559256,5346.1337446707,0.725615917722288
709871.085,3060,2460753.77188755,2025,3,19,6,31,31.085,-4860.96267148107,2211.59695280752,456.833416180278,5359.92686007364,0.725073207105589
709931.085,3120,2460753.772582,2025,3,19,6,32,31.085,-4856.1560138464,2253.96751089941,465.367158027773,5373.93592842131,0.724520294802532
709991.085,3180,2460753.77327644,2025,3,19,6,33,31.085,-4851.25801947713,2296.29503381238,473.891974860046,5388.15820644581,0.723957200112803
710051.085,3240,2460753.77397089,2025,3,19,6,34,31.085,-4846.2687895,2338.57872308798,482.407703620032,5402.59093553024,0.723383942689999
710111.085,3300,2460753.77466533,2025,3,19,6,35,31.085,-4841.18842677772,2380.8177812049,490.914181437227,5417.23134307592,0.722800542552844
710171.085,3360,2460753.77535977,2025,3,19,6,36,31.085,-4836.01703587919,2423.01141159202,499.411245631753,5432.07664381518,0.722207020080509
710231.085,3420,2460753.77605422,2025,3,19,6,37,31.085,-4830.75472316146,2465.15881864467,507.898733717448,5447.12404119826,0.72160339602124
710291.084,3480,2460753.77674866,2025,3,19,6,38,31.085,-4825.40159668028,2507.25920773944,516.376483404601,5462.37072859872,0.720989691482414
710351.084,3540,2460753.77744311,2025,3,19,6,39,31.085,-4819.95776622742,2549.31178524954,524.844332602923,5477.81389060396,0.720365927936979
710411.084,3600,2460753.77813755,2025,3,19,6,40,31.085,-4814.42334327102,2591.31575856072,533.302119425032,5493.45070419142,0.719732127220234
710471.084,3660,2460753.778832,2025,3,19,6,41,31.084,-4808.79844113439,2633.27033608301,541.749682189489,5509.27834008264,0.71908831154603
710531.085,3720,2460753.77952644,2025,3,19,6,42,31.085,-4803.08317468315,2675.17472727001,550.186859423411,5525.29396363947,0.718434503479259
710591.085,3780,2460753.78022089,2025,3,19,6,43,31.085,-4797.277660653,2717.02814263104,558.61348986614,5541.4947362882,0.717770725964972
710651.085,3840,2460753.78091533,2025,3,19,6,44,31.085,-4791.38201741874,2758.82979374651,567.029412472097,5557.87781642558,0.717097002311499
710711.085,3900,2460753.78160977,2025,3,19,6,45,31.085,-4785.39636503905,2800.5788932838,575.434466413455,5574.44036053595,0.716413356193541
710771.085,3960,2460753.78230422,2025,3,19,6,46,31.085,-4779.32082537562,2842.27465501145,583.828491084103,5591.1795243393,0.715719811667178
710831.085,4020,2460753.78299866,2025,3,19,6,47,31.085,-4773.15552192181,2883.91629381398,592.211326101329,5608.09246365831,0.715016393149141
710891.085,4080,2460753.78369311,2025,3,19,6,48,31.085,-4766.9005798772,2925.50302570721,600.582811310422,5625.17633546693,0.714303125431009
710951.085,4140,2460753.78438755,2025,3,19,6,49,31.085,-4760.55612619221,2967.03406785218,608.942786786531,5642.42829887992,0.71358003368192
711011.084,4200,2460753.785082,2025,3,19,6,50,31.085,-4754.12228944898,3008.50863857107,617.291092838277,5659.8455159739,0.712847143439435
711071.084,4260,2460753.78577644,2025,3,19,6,51,31.085,-4747.5991999656,3049.92595736079,625.627570010605,5677.42515276551,0.712104480618053
711131.084,4320,2460753.78647089,2025,3,19,6,52,31.084,-4740.98698975146,3091.28524490881,633.952059087576,5695.16438003372,0.711352071513776
711191.084,4380,2460753.78716533,2025,3,19,6,53,31.084,-4734.28579247743,3132.58572310705,642.264401096036,5713.06037412375,0.710589942792427
711251.085,4440,2460753.78785977,2025,3,19,6,54,31.085,-4727.49574350566,3173.82661506637,650.564437308058,5731.1103177707,0.709818121497808
711311.085,4500,2460753.78855422,2025,3,19,6,55,31.085,-4720.61697991937,3215.00714513244,658.85200924403,5749.31140089321,0.709036635060316
711371.085,4560,2460753.78924866,2025,3,19,6,56,31.085,-4713.64964041859,3256.12653889913,667.126958675566,5767.66082124575,0.708245511285795
711431.085,4620,2460753.78994311,2025,3,19,6,57,31.085,-4706.5938654393,3297.18402322293,675.389127629227,5786.15578522625,0.707444778361546
711491.085,4680,2460753.79063755,2025,3,19,6,58,31.085,-4699.44979702681,3338.17882623866,683.638358388678,5804.79350845349,0.706634464858506
711551.085,4740,2460753.791332,2025,3,19,6,59,31.085,-4692.21757894009,3379.11017737334,691.874493497831,5823.57121650413,0.705814599730667
711611.085,4800,2460753.79202644,2025,3,19,7,0,31.085,-4684.89735661447,3419.97730736053,700.097375763871,5842.48614550567,0.704985212320841
711671.084,4860,2460753.79272089,2025,3,19,7,1,31.085,-4677.48927708715,3460.77944825421,708.306848260632,5861.53554267284,0.704146332350933
711731.084,4920,2460753.79341533,2025,3,19,7,2,31.085,-4669.99348912388,3501.51583344658,716.502754331101,5880.71666698036,0.70329798993787
711791.084,4980,2460753.79410977,2025,3,19,7,3,31.084,-4662.41014306992,3542.18569767593,724.684937590268,5900.02678958252,0.70244021558391
711851.084,5040,2460753.79480422,2025,3,19,7,4,31.084,-4654.73939101398,3582.78827704379,732.85324192862,5919.46319446154,0.701573040183013
711911.085,5100,2460753.79549866,2025,3,19,7,5,31.085,-4646.98138661683,3623.32280903608,741.007511514646,5939.02317878669,0.700696495018694
711971.085,5160,2460753.79619311,2025,3,19,7,6,31.085,-4639.13628521562,3663.78853252757,749.147590797977,5958.70405345685,0.699810611769952
712031.085,5220,2460753.79688755,2025,3,19,7,7,31.085,-4631.20424378663,3704.18468780052,757.273324512003,5978.50314351516,0.698915422507131
712091.085,5280,2460753.797582,2025,3,19,7,8,31.085,-4623.18542095274,3744.51051655871,765.384557677608,5998.41778857226,0.698010959701633
712151.085,5340,2460753.79827644,2025,3,19,7,9,31.085,-4615.07997693866,3784.76526194001,773.481135604961,6018.44534316502,0.697097256216844
712211.085,5400,2460753.79897089,2025,3,19,7,10,31.085,-4606.88807366043,3824.94816853437,781.562903897022,6038.58317719953,0.696174345319138
712271.085,5460,2460753.79966533,2025,3,19,7,11,31.085,-4598.60987458378,3865.05848239213,789.629708452965,6058.82867618835,0.695242260672247
712331.084,5520,2460753.80035977,2025,3,19,7,12,31.085,-4590.24554485828,3905.09545104288,797.681395470339,6079.1792416844,0.694301036342489
712391.084,5580,2460753.80105422,2025,3,19,7,13,31.085,-4581.79525125027,3945.05832351199,805.717811447743,6099.63229153815,0.693350706806078
712451.084,5640,2460753.80174866,2025,3,19,7,14,31.084,-4573.25916208327,3984.94635032223,813.738803188491,6120.18526013222,0.692391306931736
712511.084,5700,2460753.80244311,2025,3,19,7,15,31.084,-4564.63744737208,4024.75878352605,821.744217803178,6140.83559876134,0.691422872007913
712571.085,5760,2460753.80313755,2025,3,19,7,16,31.085,-4555.93027868122,4064.49487669502,829.733902712585,6161.58077575837,0.690445437723142
712631.085,5820,2460753.803832,2025,3,19,7,17,31.085,-4547.13782922924,4104.15388496703,837.707705650013,6182.41827682364,0.689459040184156
712691.085,5880,2460753.80452644,2025,3,19,7,18,31.085,-4538.2602737844,4143.73506502635,845.665474665409,6203.34560513757,0.688463715902599
712751.085,5940,2460753.80522089,2025,3,19,7,19,31.085,-4529.29778874665,4183.23767513591,853.607058126421,6224.36028162775,0.687459501808573
712811.085,6000,2460753.80591533,2025,3,19,7,20,31.085,-4520.25055209547,4222.66097515559,861.532304723223,6245.45984511174,0.686446435245169
712871.085,6060,2460753.80660977,2025,3,19,7,21,31.085,-4511.11874340475,4262.00422653631,869.441063469916,6266.64185245644,0.685424553978368
712931.085,6120,2460753.80730422,2025,3,19,7,22,31.085,-4501.90254385769,4301.26669235231,877.333183707437,6287.90387874735,0.684393896189171
712991.084,6180,2460753.80799866,2025,3,19,7,23,31.085,-4492.6021361649,4340.44763730828,885.208515107573,6309.24351735669,0.683354500482206
713051.084,6240,2460753.80869311,2025,3,19,7,24,31.085,-4483.21770466864,4379.54632774476,893.06690767454,6330.65838012922,0.682306405887032
713111.084,6300,2460753.80938755,2025,3,19,7,25,31.085,-4473.74943524599,4418.56203167417,900.908211748232,6352.14609743131,0.681249651855956
713171.084,6360,2460753.810082,2025,3,19,7,26,31.084,-4464.19751535356,4457.49401876296,908.732278006966,6373.70431825075,0.680184278271642
713231.085,6420,2460753.81077644,2025,3,19,7,27,31.085,-4454.56213404238,4496.34156037339,916.538957470562,6395.33071030314,0.679110325449454
713291.085,6480,2460753.81147089,2025,3,19,7,28,31.085,-4444.84348186105,4535.10392956622,924.328101502673,6417.02296002104,0.678027834129886
