secondsSinceStart,secondsSinceManeuer,timeJulianDate,timeUtcYear,timeUtcMonth,timeUtcDay,timeUtcHour,timeUtcMinute,timeUtcSeconds,positionDepRelToChiefLvlhX,positionDepRelToChiefLvlhY,positionDepRelToChiefLvlhZ,relativeRange,relativeVelocity
1379019.74,0,2460761.51666366,2025,3,27,0,23,59.74,-0.638334922492504,-199.677389920146,-49.8587852354467,205.809052235196,0.00732346849156573
1379079.74,60,2460761.5173581,2025,3,27,0,24,59.74,-1.0776708945632,-199.668321324499,-49.8582731877395,205.80196141039,0.00732431772011592
1379139.74,120,2460761.51805255,2025,3,27,0,25,59.74,-1.51697281748056,-199.655397118795,-49.8567981477318,205.791834451069,0.00732562299775239
1379199.74,180,2460761.51874699,2025,3,27,0,26,59.74,-1.95623218268156,-199.638617638363,-49.8543601428391,205.778671689174,0.00732738394239044
1379259.74,240,2460761.51944144,2025,3,27,0,27,59.74,-2.39544037729502,-199.617983295084,-49.8509592191767,205.762473557424,0.00732960005170427
1379319.74,300,2460761.52013588,2025,3,27,0,28,59.74,-2.83458885550499,-199.593494578065,-49.8465954417261,205.743240591264,0.00733227070328363
1379379.74,360,2460761.52083033,2025,3,27,0,29,59.74,-3.27366908639669,-199.565152047799,-49.841268894168,205.720973423054,0.00733539515540887
1379439.74,420,2460761.52152477,2025,3,27,0,30,59.74,-3.71267246454954,-199.532956346419,-49.8349796789698,205.695672790593,0.0073389725474746
1379499.74,480,2460761.52221921,2025,3,27,0,31,59.74,-4.15159048140049,-199.496908187725,-49.8277279173635,205.66733953011,0.00734300190153649
1379559.74,540,2460761.52291366,2025,3,27,0,32,59.74,-4.59041454643011,-199.457008362601,-49.819513749324,205.635974578589,0.00734748212199349
1379619.74,600,2460761.5236081,2025,3,27,0,33,59.74,-5.02913611382246,-199.413257737276,-49.8103373336271,205.601578974322,0.00735241199786729
1379679.74,660,2460761.52430255,2025,3,27,0,34,59.74,-5.46774664521217,-199.365657254172,-49.8001988477481,205.564153857231,0.00735779020289862
1379739.74,720,2460761.52499699,2025,3,27,0,35,59.74,-5.90623760968447,-199.314207931189,-49.7890984880069,205.52370046831,0.00736361529801458
1379799.74,780,2460761.52569144,2025,3,27,0,36,59.74,-6.34460040926933,-199.258910861282,-49.7770364693715,205.480220146979,0.00736988573100698
1379859.74,840,2460761.52638588,2025,3,27,0,37,59.74,-6.78282655030489,-199.19976721513,-49.764013025575,205.433714338672,0.00737659983895997
1379919.74,900,2460761.52708033,2025,3,27,0,38,59.74,-7.22090747207403,-199.136778234797,-49.7500284091293,205.384184583828,0.00738375585055788
1379979.74,960,2460761.52777477,2025,3,27,0,39,59.74,-7.65883465111256,-199.069945243539,-49.7350828912822,205.331632530601,0.00739135188552439
1380039.74,1020,2460761.52846921,2025,3,27,0,40,59.74,-8.09659951925278,-198.999269637313,-49.7191767619734,205.276059923819,0.00739938595824819
1380099.74,1080,2460761.52916366,2025,3,27,0,41,59.74,-8.53419356793165,-198.924752884511,-49.7023103298889,205.217468608662,0.00740785597859038
1380159.74,1140,2460761.5298581,2025,3,27,0,42,59.74,-8.97160829603672,-198.846396536288,-49.6844839223631,205.155860539044,0.00741675975483506
1380219.74,1200,2460761.53055255,2025,3,27,0,43,59.74,-9.40883515030146,-198.764202212075,-49.6656978856117,205.091237761034,0.00742609499343382
1380279.74,1260,2460761.53124699,2025,3,27,0,44,59.74,-9.84586560726166,-198.678171612448,-49.6459525843493,205.023602428669,0.00743585930316376
1380339.74,1320,2460761.53194144,2025,3,27,0,45,59.74,-10.2826911509037,-198.588306510463,-49.6252484021388,204.952956794901,0.00744605019609745
1380399.74,1380,2460761.53263588,2025,3,27,0,46,59.74,-10.7193032875657,-198.494608752203,-49.6035857411043,204.879303212979,0.00745666509082174
1380459.74,1440,2460761.53333033,2025,3,27,0,47,59.74,-11.1556935012341,-198.397080264665,-49.5809650221781,204.802644142032,0.00746770131222094
1380519.74,1500,2460761.53402477,2025,3,27,0,48,59.74,-11.5918532907963,-198.295723044008,-49.5573866848936,204.722982137564,0.00747915609661335
