secondsSinceStart,secondsSinceManeuer,timeJulianDate,timeUtcYear,timeUtcMonth,timeUtcDay,timeUtcHour,timeUtcMinute,timeUtcSeconds,positionDepRelToChiefLvlhX,positionDepRelToChiefLvlhY,positionDepRelToChiefLvlhZ,relativeRange,relativeVelocity
857611.89,0,2460755.48185058,2025,3,20,23,33,51.89,-23.7975050136447,-4987.9614682767,998.073918134178,5086.89271326983,0.184405498795121
857671.89,60,2460755.48254502,2025,3,20,23,34,51.89,-34.8596321493387,-4987.701376308,998.072260240238,5086.7011362807,0.184437065766211
857731.89,120,2460755.48323947,2025,3,20,23,35,51.89,-45.92126108706,-4987.34421731554,998.051336701988,5086.43466240383,0.184479787202591
857791.89,180,2460755.48393391,2025,3,20,23,36,51.89,-56.9821765646338,-4986.88999568854,998.011147650337,5086.09329922081,0.184533652974385
857851.89,240,2460755.48462835,2025,3,20,23,37,51.89,-68.0421633422375,-4986.33871771359,997.951693591225,5085.67705684341,0.184598650069847
857911.89,300,2460755.4853228,2025,3,20,23,38,51.89,-79.101006180048,-4985.69039158281,997.872975405131,5085.18594792203,0.184674762608918
857971.89,360,2460755.48601724,2025,3,20,23,39,51.89,-90.1584898903966,-4984.94502739769,997.774994347681,5084.61998765117,0.184761971856461
858031.89,420,2460755.48671169,2025,3,20,23,40,51.89,-101.214399218559,-4984.1026371668,997.657752049214,5083.97919376605,0.184860256240171
858091.89,480,2460755.48740613,2025,3,20,23,41,51.89,-112.26851900667,-4983.16323478982,997.521250514867,5083.26358653076,0.184969591371249
858151.89,540,2460755.48810058,2025,3,20,23,42,51.89,-123.320634074509,-4982.1268360876,997.365492124693,5082.47318876686,0.185089950067346
858211.89,600,2460755.48879502,2025,3,20,23,43,51.89,-134.370529286563,-4980.99345876836,997.190479633398,5081.60802582268,0.185221302374269
858271.89,660,2460755.48948947,2025,3,20,23,44,51.89,-145.417989552021,-4979.76312245467,996.996216170606,5080.66812560153,0.185363615597521
858331.89,720,2460755.49018391,2025,3,20,23,45,51.89,-156.462799794972,-4978.43584867274,996.782705240534,5079.65351855185,0.185516854329722
858391.89,780,2460755.49087835,2025,3,20,23,46,51.89,-167.504744999111,-4977.01166084109,996.54995072211,5078.56423765907,0.185680980482574
858451.89,840,2460755.4915728,2025,3,20,23,47,51.89,-178.543610185385,-4975.49058429034,996.297956868773,5077.40031846621,0.18585595332158
858511.89,900,2460755.49226724,2025,3,20,23,48,51.89,-189.579180419445,-4973.87264625454,996.026728308643,5076.16179906756,0.186041729502318
858571.89,960,2460755.49296169,2025,3,20,23,49,51.89,-200.611240819097,-4972.15787586561,995.736270044261,5074.84872010556,0.186238263108536
858631.89,1020,2460755.49365613,2025,3,20,23,50,51.89,-211.63957657665,-4970.3463041641,995.426587452384,5073.46112478438,0.186445505693777
858691.89,1080,2460755.49435058,2025,3,20,23,51,51.89,-222.663972988725,-4968.43796407211,995.097686284425,5071.99905884738,0.1866634063209
858751.89,1140,2460755.49504502,2025,3,20,23,52,51.89,-233.684215299785,-4966.43289043456,994.749572665663,5070.46257061316,0.186891911607786
858811.89,1200,2460755.49573947,2025,3,20,23,53,51.89,-244.70008892566,-4964.33111999393,994.382253095609,5068.85171096293,0.187130965774787
858871.89,1260,2460755.49643391,2025,3,20,23,54,51.89,-255.711379349232,-4962.13269138017,993.995734447744,5067.16653332933,0.187380510688709
858931.89,1320,2460755.49712835,2025,3,20,23,55,51.89,-266.717872098088,-4959.83764512535,993.590023969533,5065.4070937123,0.187640485913635
858991.89,1380,2460755.4978228,2025,3,20,23,56,51.89,-277.719352833927,-4957.44602366657,993.165129281915,5063.5734506895,0.187910828761741
859051.89,1440,2460755.49851724,2025,3,20,23,57,51.89,-288.715607240796,-4954.95787132977,992.721058379684,5061.66566539788,0.188191474342287
859111.89,1500,2460755.49921169,2025,3,20,23,58,51.89,-299.706421166658,-4952.3732343493,992.257819631079,5059.68380156378,0.18848235561955
859171.89,1560,2460755.49990613,2025,3,20,23,59,51.89,-310.691580526531,-4949.69216084146,991.775421777507,5057.62792547528,0.188783403460672
859231.89,1620,2460755.50060058,2025,3,21,0,0,51.89,-321.670871324837,-4946.91470082308,991.273873933678,5055.49810600518,0.189094546694677
859291.89,1680,2460755.50129502,2025,3,21,0,1,51.89,-332.644079700112,-4944.04090621109,990.753185587222,5053.294414617,0.189415712167312
859351.89,1740,2460755.50198947,2025,3,21,0,2,51.89,-343.610991887748,-4941.07083080567,990.213366598604,5051.01692535031,0.189746824798684
859411.89,1800,2460755.50268391,2025,3,21,0,3,51.89,-354.571394257247,-4938.00453030655,989.654427201021,5048.66571484309,0.19008780763965
859471.89,1860,2460755.50337835,2025,3,21,0,4,51.89,-365.525073252618,-4934.84206229898,989.076377999983,5046.24086231812,0.190438581929712
859531.89,1920,2460755.5040728,2025,3,21,0,5,51.89,-376.471815504134,-4931.58348626534,988.479229973353,5043.74244960651,0.190799067157975
859591.89,1980,2460755.50476724,2025,3,21,0,6,51.89,-387.411407738924,-4928.22886356647,987.862994470997,5041.17056112776,0.191169181119775
859651.89,2040,2460755.50546169,2025,3,21,0,7,51.89,-398.34363681823,-4924.7782574645,987.227683214747,5038.52528391932,0.191548839977647
859711.89,2100,2460755.50615613,2025,3,21,0,8,51.89,-409.268289729953,-4921.23173309393,986.573308297899,5035.8067076125,0.191937958320925
859771.89,2160,2460755.50685058,2025,3,21,0,9,51.89,-420.185153648257,-4917.58935748542,985.899882185317,5033.01492446558,0.192336449224159
859831.89,2220,2460755.50754502,2025,3,21,0,10,51.89,-431.094015851617,-4913.85119955376,985.207417712896,5030.15002935057,0.192744224310545
859891.89,2280,2460755.50823947,2025,3,21,0,11,51.89,-441.994663752615,-4910.01733008626,984.495928087606,5027.2121197493,0.193161193806617
859951.89,2340,2460755.50893391,2025,3,21,0,12,51.89,-452.886885009706,-4906.08782176342,983.765426886952,5024.20129578893,0.193587266610423
860011.89,2400,2460755.50962836,2025,3,21,0,13,51.89,-463.770467340946,-4902.0627491437,983.015928059016,5021.11766021646,0.194022350339938
860071.89,2460,2460755.5103228,2025,3,21,0,14,51.89,-474.645198665559,-4897.94218865443,982.247445921879,5017.96131840784,0.194466351403212
860131.89,2520,2460755.51101724,2025,3,21,0,15,51.89,-485.510867103934,-4893.72621861495,981.459995163634,5014.73237839687,0.194919175052034
860191.89,2580,2460755.51171169,2025,3,21,0,16,51.89,-496.367260888219,-4889.41491921266,980.65359084199,5011.4309508495,0.195380725439322
860251.89,2640,2460755.51240613,2025,3,21,0,17,51.89,-507.214168488979,-4885.00837250675,979.828248383885,5008.05714908567,0.195850905683689
860311.89,2700,2460755.51310058,2025,3,21,0,18,51.89,-518.051378525794,-4880.50666243614,978.983983585436,5004.61108908503,0.196329617920888
860371.89,2760,2460755.51379502,2025,3,21,0,19,51.89,-528.878679774702,-4875.90987480649,978.120812611378,5001.09288948118,0.196816763363161
860431.89,2820,2460755.51448947,2025,3,21,0,20,51.89,-539.695861279964,-4871.21809729649,977.238751994882,4997.50267158629,0.197312242357214
860491.89,2880,2460755.51518391,2025,3,21,0,21,51.89,-550.502712234855,-4866.43141944833,976.337818637257,4993.84055937644,0.197815954438988
860551.89,2940,2460755.51587835,2025,3,21,0,22,51.89,-561.299022011459,-4861.5499326732,975.418029807581,4990.10667950692,0.198327798386687
860611.89,3000,2460755.5165728,2025,3,21,0,23,51.89,-572.08458019048,-4856.57373024572,974.47940314241,4986.30116131721,0.198847672276654
860671.89,3060,2460755.51726724,2025,3,21,0,24,51.89,-582.859176635742,-4851.50290730408,973.521956645316,4982.42413684733,0.199375473540859
860731.89,3120,2460755.51796169,2025,3,21,0,25,51.89,-593.622601315379,-4846.33756084648,972.545708686783,4978.47574082158,0.19991109900931
860791.89,3180,2460755.51865613,2025,3,21,0,26,51.89,-604.374644480646,-4841.07778972927,971.550678003565,4974.45611067485,0.200454444972732
860851.89,3240,2460755.51935058,2025,3,21,0,27,51.89,-615.115096583962,-4835.72369466735,970.536883698587,4970.36538655179,0.201005407225508
860911.89,3300,2460755.52004502,2025,3,21,0,28,51.89,-625.843748308718,-4830.27537822969,969.504345240362,4966.20371131401,0.201563881117282
860971.89,3360,2460755.52073947,2025,3,21,0,29,51.89,-636.560390561819,-4824.73294483779,968.453082462729,4961.97123054607,0.202129761603732
861031.89,3420,2460755.52143391,2025,3,21,0,30,51.89,-647.264814473689,-4819.09650076514,967.383115564473,4957.66809256344,0.202702943289836
861091.89,3480,2460755.52212835,2025,3,21,0,31,51.89,-657.956811450422,-4813.36615413318,966.294465108862,4953.29444842409,0.203283320481653
861151.89,3540,2460755.5228228,2025,3,21,0,32,51.89,-668.636173069477,-4807.54201491045,965.18715202334,4948.85045192286,0.203870787224812
861211.89,3600,2460755.52351724,2025,3,21,0,33,51.89,-679.302691228688,-4801.62419491064,964.061197598989,4944.33625961845,0.20446523735548
861271.89,3660,2460755.52421169,2025,3,21,0,34,51.89,-689.956158049405,-4795.61280778897,962.91662349031,4939.75203082644,0.205066564538197
861331.89,3720,2460755.52490613,2025,3,21,0,35,51.89,-700.596365891397,-4789.50796904108,961.753451714576,4935.09792762952,0.205674662310549
861391.89,3780,2460755.52560058,2025,3,21,0,36,51.89,-711.223107427359,-4783.3097960003,960.5717046516,4930.37411489517,0.206289424124419
861451.89,3840,2460755.52629502,2025,3,21,0,37,51.89,-721.836175501347,-4777.01840783596,959.371405043159,4925.58076026376,0.206910743380564
861511.89,3900,2460755.52698947,2025,3,21,0,38,51.89,-732.435363307595,-4770.63392554989,958.15257599263,4920.71803418083,0.207538513473974
861571.89,3960,2460755.52768391,2025,3,21,0,39,51.89,-743.020464278758,-4764.15647197534,956.915240964488,4915.78610989042,0.208172627825884
861631.89,4020,2460755.52837835,2025,3,21,0,40,51.89,-753.591272115707,-4757.58617177372,955.659423783916,4910.78516344673,0.2088129799213
861691.89,4080,2460755.5290728,2025,3,21,0,41,51.89,-764.147580832243,-4750.92315143213,954.385148636218,4905.71537372919,0.209459463345391
861751.89,4140,2460755.52976724,2025,3,21,0,42,51.89,-774.689184688032,-4744.16753926129,953.09244006651,4900.57692244139,0.210111971814444
861811.89,4200,2460755.53046169,2025,3,21,0,43,51.89,-785.215878240764,-4737.31946539283,951.781322979092,4895.36999412742,0.210770399210001
861871.89,4260,2460755.53115613,2025,3,21,0,44,51.89,-795.727456390858,-4730.37906177592,950.451822637049,4890.09477618751,0.211434639612243
861931.89,4320,2460755.53185058,2025,3,21,0,45,51.89,-806.223714254797,-4723.34646217645,949.103964661677,4884.75145886851,0.212104587324318
861991.89,4380,2460755.53254502,2025,3,21,0,46,51.89,-816.704447306693,-4716.22180217227,947.737775032059,4879.34023529394,0.212780136907666
862051.89,4440,2460755.53323947,2025,3,21,0,47,51.89,-827.16945130378,-4709.00521915202,946.353280084564,4873.86130146294,0.213461183205134
862111.89,4500,2460755.53393391,2025,3,21,0,48,51.89,-837.618522338569,-4701.69685231157,944.95050651217,4868.31485626791,0.214147621373863
862171.89,4560,2460755.53462835,2025,3,21,0,49,51.89,-848.05145676434,-4694.29684265272,943.529481364181,4862.70110149316,0.214839346901997
862231.89,4620,2460755.5353228,2025,3,21,0,50,51.89,-858.468051344156,-4686.80533297636,942.090232045521,4857.02024184683,0.215536255644806
862291.89,4680,2460755.53601724,2025,3,21,0,51,51.89,-868.868103042245,-4679.22246788555,940.632786316164,4851.27248494063,0.216238243834545
862351.89,4740,2460755.53671169,2025,3,21,0,52,51.89,-879.251409254968,-4671.54839377729,939.157172290856,4845.45804133576,0.216945208119153
862411.89,4800,2460755.53740613,2025,3,21,0,53,51.89,-889.617767669261,-4663.78325884175,937.663418438126,4839.57712453087,0.217657045568638
862471.89,4860,2460755.53810058,2025,3,21,0,54,51.89,-899.966976292431,-4655.92721306228,936.151553580188,4833.62995098109,0.218373653705972
862531.89,4920,2460755.53879502,2025,3,21,0,55,51.89,-910.298833489418,-4647.98040820573,934.621606892004,4827.61674010955,0.219094930521173
862591.89,4980,2460755.53948947,2025,3,21,0,56,51.89,-920.613137960434,-4639.94299782519,933.073607900937,4821.53771432037,0.219820774492044
862651.89,5040,2460755.54018391,2025,3,21,0,57,51.89,-930.909688770771,-4631.81513725556,931.507586486034,4815.39309901467,0.220551084602264
862711.89,5100,2460755.54087836,2025,3,21,0,58,51.89,-941.188285306096,-4623.59698360626,929.923572877524,4809.18312258991,0.22128576035607
862771.89,5160,2460755.5415728,2025,3,21,0,59,51.89,-951.448727346957,-4615.28869576534,928.32159765617,4802.90801647339,0.222024701797541
862831.89,5220,2460755.54226724,2025,3,21,1,0,51.89,-961.690814971924,-4606.89043439149,926.701691752682,4796.56801511106,0.222767809519238
862891.89,5280,2460755.54296169,2025,3,21,1,1,51.89,-971.914348714054,-4598.40236190861,925.0638864471,4790.16335600901,0.223514984687848
862951.89,5340,2460755.54365613,2025,3,21,1,2,51.89,-982.119129396975,-4589.82464251336,923.408213368173,4783.69427972422,0.22426612904163
863011.89,5400,2460755.54435058,2025,3,21,1,3,51.89,-992.304958216846,-4581.15744215375,921.734704492734,4777.16102987629,0.225021144916043
863071.89,5460,2460755.54504502,2025,3,21,1,4,51.89,-1002.47163680941,-4572.40092854527,920.043392145086,4770.56385319375,0.225779935249811
863131.89,5520,2460755.54573947,2025,3,21,1,5,51.89,-1012.61896713823,-4563.5552711535,918.33430899632,4763.90299949115,0.22654240359818
863191.89,5580,2460755.54643391,2025,3,21,1,6,51.89,-1022.74675158411,-4554.62064119754,916.607488063681,4757.17872170817,0.227308454138938
863251.89,5640,2460755.54712835,2025,3,21,1,7,51.89,-1032.85479284823,-4545.5972116426,914.862962709922,4750.39127589938,0.228077991683887
863311.89,5700,2460755.5478228,2025,3,21,1,8,51.89,-1042.94289414585,-4536.48515720196,913.100766642707,4743.54092129566,0.228850921694288
863371.89,5760,2460755.54851724,2025,3,21,1,9,51.89,-1053.010858953,-4527.28465432848,911.32093391379,4736.62792025937,0.229627150274566
863431.89,5820,2460755.54921169,2025,3,21,1,10,51.89,-1063.05849125981,-4517.99588120895,909.523498918456,4729.65253835263,0.230406584195765
863491.89,5880,2460755.54990613,2025,3,21,1,11,51.89,-1073.08559536934,-4508.61901777041,907.708496394834,4722.61504431788,0.231189130887469
863551.89,5940,2460755.55060058,2025,3,21,1,12,51.89,-1083.09197603166,-4499.15424566882,905.875961423159,4715.51571011573,0.231974698454722
863611.89,6000,2460755.55129502,2025,3,21,1,13,51.89,-1093.0774384439,-4489.60174828134,904.025929425088,4708.35481093756,0.23276319568219
863671.89,6060,2460755.55198947,2025,3,21,1,14,51.89,-1103.04178816825,-4479.96171071539,902.158436163014,4701.13262521506,0.233554532031586
863731.89,6120,2460755.55268391,2025,3,21,1,15,51.89,-1112.9848312065,-4470.23431979064,900.27351773931,4693.84943464024,0.234348617655814
863791.89,6180,2460755.55337835,2025,3,21,1,16,51.89,-1122.90637398511,-4460.41976404894,898.37121059571,4686.50552419198,0.23514536339619
863851.89,6240,2460755.5540728,2025,3,21,1,17,51.89,-1132.80622337759,-4450.51823374098,896.451551512494,4679.10118214952,0.235944680791397
863911.89,6300,2460755.55476724,2025,3,21,1,18,51.89,-1142.68418664485,-4440.52992082128,894.514577607735,4671.63670009452,0.236746482071516
863971.89,6360,2460755.55546169,2025,3,21,1,19,51.89,-1152.54007153213,-4430.45501895066,892.56032633664,4664.11237295829,0.237550680172614
864031.89,6420,2460755.55615613,2025,3,21,1,20,51.89,-1162.37368616462,-4420.29372349594,890.588835490827,4656.52849901795,0.238357188727199
864091.89,6480,2460755.55685058,2025,3,21,1,21,51.89,-1172.1848391667,-4410.04623151002,888.600143197424,4648.88537992909,0.239165922075389
864151.89,6540,2460755.55754502,2025,3,21,1,22,51.89,-1181.9733396396,-4399.71274174287,886.594287918419,4641.18332075377,0.239976795260624
864211.89,6600,2460755.55823947,2025,3,21,1,23,51.89,-1191.73899701983,-4389.29345463375,884.571308449924,4633.42262994013,0.240789724027415
864271.89,6660,2460755.55893391,2025,3,21,1,24,51.89,-1201.48162130266,-4378.78857229983,882.531243921307,4625.60361939163,0.241604624831976
864331.89,6720,2460755.55962835,2025,3,21,1,25,51.89,-1211.20102289319,-4368.19829854256,880.474133794492,4617.72660445904,0.24242141483391
864391.89,6780,2460755.5603228,2025,3,21,1,26,51.89,-1220.89701271057,-4357.52283883732,878.400017863092,4609.79190398182,0.243240011898646
864451.89,6840,2460755.56101724,2025,3,21,1,27,51.89,-1230.5694020614,-4346.76240033888,876.308936251717,4601.79984028469,0.244060334594661
864511.89,6900,2460755.56171169,2025,3,21,1,28,51.89,-1240.21800281107,-4335.91719184884,874.20092941507,4593.75073921705,0.244882302196781
864571.89,6960,2460755.56240613,2025,3,21,1,29,51.89,-1249.84262723476,-4324.9874238539,872.076038137184,4585.64493017509,0.245705834682398
864631.89,7020,2460755.56310058,2025,3,21,1,30,51.89,-1259.44308812171,-4313.97330848777,869.934303530714,4577.48274611952,0.246530852729275
864691.89,7080,2460755.56379502,2025,3,21,1,31,51.89,-1269.01919872314,-4302.87505953515,867.775767035884,4569.26452359154,0.24735727771344
