secondsSinceStart,secondsSinceManeuer,timeJulianDate,timeUtcYear,timeUtcMonth,timeUtcDay,timeUtcHour,timeUtcMinute,timeUtcSeconds,positionDepRelToChiefLvlhX,positionDepRelToChiefLvlhY,positionDepRelToChiefLvlhZ,relativeRange,relativeVelocity
663725.249,0,2460753.23779223,2025,3,18,17,42,25.249,5020.64407336712,6.97755810129005,12.7787629060913,5020.66518446857,0.750241017394922
663785.249,60,2460753.23848667,2025,3,18,17,43,25.249,5020.52443674952,-37.1818806946886,4.0480331039289,5020.6637508225,0.750237347334874
663845.249,120,2460753.23918112,2025,3,18,17,44,25.249,5020.30648785084,-81.3403667277193,-4.68277945910813,5020.96757763284,0.750222685247618
663905.249,180,2460753.23987556,2025,3,18,17,45,25.249,5019.99022393674,-125.497041695877,-13.4135081807035,5021.57657295959,0.750197030861602
663965.249,240,2460753.24057001,2025,3,18,17,46,25.249,5019.57564412057,-169.65104726036,-22.1439864474814,5022.49056554821,0.750160384277262
664025.249,300,2460753.24126445,2025,3,18,17,47,25.249,5019.06274934858,-213.801525031829,-30.8740476392559,5023.709304968,0.750112745959941
664085.249,360,2460753.2419589,2025,3,18,17,48,25.249,5018.45154246688,-257.947616587112,-39.6035251313006,5025.23246190602,0.750054116749357
664145.249,420,2460753.24265334,2025,3,18,17,49,25.249,5017.74202814698,-302.088463512532,-48.3322522978415,5027.05962839433,0.749984497849022
664205.249,480,2460753.24334778,2025,3,18,17,50,25.249,5016.9342129454,-346.223207391909,-57.0600625147927,5029.1903182414,0.749903890837974
664265.249,540,2460753.24404223,2025,3,18,17,51,25.249,5016.02810528129,-390.350989839796,-65.7867891640635,5031.62396745517,0.749812297661128
664325.249,600,2460753.24473667,2025,3,18,17,52,25.249,5015.02371539176,-434.470952503604,-74.5122656347812,5034.35993471277,0.749709720634795
664385.249,660,2460753.24543112,2025,3,18,17,53,25.249,5013.92105546594,-478.582237088603,-83.2363253288204,5037.39750207939,0.749596162450473
664445.249,720,2460753.24612556,2025,3,18,17,54,25.249,5012.72013942152,-522.683985381605,-91.9588016618509,5040.73587543918,0.749471626161681
664505.249,780,2460753.24682001,2025,3,18,17,55,25.249,5011.4209831655,-566.775339243497,-100.679528067703,5044.37418547217,0.749336115202054
664565.249,840,2460753.24751445,2025,3,18,17,56,25.249,5010.02360441536,-610.855440654464,-109.398338000989,5048.31148826353,0.749189633372218
664625.249,900,2460753.2482089,2025,3,18,17,57,25.249,5008.52802272141,-654.923431707571,-118.115064940648,5052.54676617161,0.749032184843223
664685.249,960,2460753.24890334,2025,3,18,17,58,25.249,5006.93425953388,-698.978454630807,-126.829542392981,5057.07892880424,0.748863774164396
664745.249,1020,2460753.24959778,2025,3,18,17,59,25.249,5005.24233815074,-743.019651815222,-135.541603894439,5061.90681393747,0.748684406253502
664805.249,1080,2460753.25029223,2025,3,18,18,0,25.249,5003.45228376985,-787.046165817501,-144.251083015173,5067.02918859175,0.748494086403234
664865.249,1140,2460753.25098667,2025,3,18,18,1,25.249,5001.56412338465,-831.057139370499,-152.957813362242,5072.44475000918,0.748292820278112
