secondsSinceStart,secondsSinceManeuer,timeJulianDate,timeUtcYear,timeUtcMonth,timeUtcDay,timeUtcHour,timeUtcMinute,timeUtcSeconds,positionDepRelToChiefLvlhX,positionDepRelToChiefLvlhY,positionDepRelToChiefLvlhZ,relativeRange,relativeVelocity
965326.165,0,2460756.72854357,2025,3,22,5,29,6.165,-997.233415387571,2.91479417629112,3.32079264032654,997.243204265845,0.146294847392216
965386.165,60,2460756.72923802,2025,3,22,5,30,6.165,-997.684974782169,11.4050041169331,5.50832904159324,997.76536556138,0.146342072948168
965446.165,120,2460756.72993246,2025,3,22,5,31,6.165,-998.119565814734,19.8989939621525,7.69575854489813,998.347565891999,0.146387276410833
965506.165,180,2460756.73062691,2025,3,22,5,32,6.165,-998.53718148917,28.3966147569193,9.88303914899006,998.989762214212,0.146430456639002
965566.165,240,2460756.73132135,2025,3,22,5,33,6.165,-998.937815010548,36.897717485655,12.070128859079,999.691896448287,0.146471612539314
965626.165,300,2460756.73201579,2025,3,22,5,34,6.165,-999.321459986269,45.4021530811196,14.256985686894,1000.4538957565,0.146510743085537
965686.165,360,2460756.73271024,2025,3,22,5,35,6.165,-999.688110359013,53.90977243647,16.4435676517896,1001.27567256697,0.146547847311092
965746.165,420,2460756.73340468,2025,3,22,5,36,6.165,-1000.03776040673,62.4204263869662,18.6298327815603,1002.15712467612,0.146582924312428
965806.165,480,2460756.73409913,2025,3,22,5,37,6.165,-1000.3704046905,70.9339657414376,20.8157391129644,1003.09813531442,0.146615973241541
965866.165,540,2460756.73479357,2025,3,22,5,38,6.165,-1000.68603815138,79.4502412610451,23.001244693005,1004.09857337065,0.146646993312992
965926.165,600,2460756.73548802,2025,3,22,5,39,6.165,-1000.98465601355,87.9691036673242,25.1863075795118,1005.15829343645,0.14667598379945
965986.165,660,2460756.73618246,2025,3,22,5,40,6.165,-1001.26625387371,96.4904036571441,27.3708858419559,1006.2771360495,0.146702944037791
966046.165,720,2460756.73687691,2025,3,22,5,41,6.165,-1001.53082765639,105.01399188548,29.5549375618575,1007.45492781171,0.146727873425142
966106.165,780,2460756.73757135,2025,3,22,5,42,6.165,-1001.7783735618,113.539718999821,31.7384208344738,1008.6914815164,0.146750771410844
966166.165,840,2460756.73826579,2025,3,22,5,43,6.165,-1002.00888819247,122.067435597699,33.9212937691482,1009.98659645616,0.146771637514599
966226.165,900,2460756.73896024,2025,3,22,5,44,6.165,-1002.22236844152,130.596992274971,36.1035144896596,1011.34005851361,0.146790471309582
