secondsSinceStart,secondsSinceManeuer,timeJulianDate,timeUtcYear,timeUtcMonth,timeUtcDay,timeUtcHour,timeUtcMinute,timeUtcSeconds,positionDepRelToChiefLvlhX,positionDepRelToChiefLvlhY,positionDepRelToChiefLvlhZ,relativeRange,relativeVelocity
344697.604,0,2460749.54534264,2025,3,15,1,5,17.604,-11964.0647644699,-292379.482328424,-4993.73266181951,292666.769378116,1.31761601210359
344757.604,60,2460749.54603709,2025,3,15,1,6,17.604,-11959.2954436019,-292300.599344061,-4993.37575293075,292587.762775231,1.31664592056284
344817.604,120,2460749.54673153,2025,3,15,1,7,17.604,-11954.526861012,-292221.775065023,-4992.9223131226,292508.813213976,1.31567776381607
344877.604,180,2460749.54742598,2025,3,15,1,8,17.604,-11949.759104006,-292143.009488136,-4992.37235109304,292429.920694037,1.31471156383326
344937.604,240,2460749.54812042,2025,3,15,1,9,17.604,-11944.9922599569,-292064.302609113,-4991.72587742279,292351.085214119,1.31374734244281
344997.604,300,2460749.54881486,2025,3,15,1,10,17.604,-11940.2264163047,-291985.654422556,-4990.98290457534,292272.306771946,1.31278512133313
345057.604,360,2460749.54950931,2025,3,15,1,11,17.604,-11935.4616604447,-291907.064921954,-4990.14344689638,292193.585364256,1.31182492203908
345117.604,420,2460749.55020375,2025,3,15,1,12,17.604,-11930.6980798692,-291828.534099685,-4989.20752061385,292114.920986805,1.31086676595123
345177.604,480,2460749.5508982,2025,3,15,1,13,17.604,-11925.9357620254,-291750.061947012,-4988.17514383741,292036.313634368,1.30991067431191
345237.604,540,2460749.55159264,2025,3,15,1,14,17.604,-11921.1747944355,-291671.648454089,-4987.04633655815,291957.763300735,1.30895666821496
345297.604,600,2460749.55228709,2025,3,15,1,15,17.604,-11916.4152646214,-291593.293609955,-4985.82112064812,291879.269978715,1.30800476860272
345357.604,660,2460749.55298153,2025,3,15,1,16,17.604,-11911.6572601199,-291514.997402538,-4984.49951986007,291800.833660131,1.30705499626436
345417.604,720,2460749.55367598,2025,3,15,1,17,17.604,-11906.9008684978,-291436.759818652,-4983.08155982672,291722.454335827,1.30610737183798
345477.604,780,2460749.55437042,2025,3,15,1,18,17.604,-11902.1461773366,-291358.580844001,-4981.56726806045,291644.131995662,1.30516191580985
345537.604,840,2460749.55506486,2025,3,15,1,19,17.604,-11897.3932742327,-291280.460463175,-4979.95667395263,291565.866628512,1.30421864850696
345597.604,900,2460749.55575931,2025,3,15,1,20,17.604,-11892.6422467753,-291202.398659649,-4978.24980877314,291487.658222268,1.30327759010496
345657.604,960,2460749.55645375,2025,3,15,1,21,17.604,-11887.8931826055,-291124.39541579,-4976.44670566959,291409.50676384,1.30233876062072
345717.604,1020,2460749.5571482,2025,3,15,1,22,17.604,-11883.1461693496,-291046.450712851,-4974.54739966677,291331.412239157,1.30140217991343
345777.604,1080,2460749.55784264,2025,3,15,1,23,17.604,-11878.4012946486,-290968.564530974,-4972.55192766587,291253.374633163,1.30046786768408
345837.604,1140,2460749.55853709,2025,3,15,1,24,17.604,-11873.6586461663,-290890.736849188,-4970.46032844377,291175.39392982,1.29953584347472
345897.604,1200,2460749.55923153,2025,3,15,1,25,17.604,-11868.9183115363,-290812.967645409,-4968.27264265229,291097.470112104,1.29860612666391
345957.604,1260,2460749.55992598,2025,3,15,1,26,17.604,-11864.1803784296,-290735.256896445,-4965.98891281725,291019.603162014,1.29767873647143
346017.604,1320,2460749.56062042,2025,3,15,1,27,17.604,-11859.4449345022,-290657.604577988,-4963.60918333769,290941.79306056,1.29675369195145
346077.604,1380,2460749.56131486,2025,3,15,1,28,17.604,-11854.7120674178,-290580.010664624,-4961.13350048503,290864.039787775,1.29583101199827
346137.604,1440,2460749.56200931,2025,3,15,1,29,17.604,-11849.981864877,-290502.475129824,-4958.56191240196,290786.343322706,1.29491071534354
346197.604,1500,2460749.56270375,2025,3,15,1,30,17.604,-11845.2544145063,-290424.997945952,-4955.89446910161,290708.703643422,1.29399282054476
346257.604,1560,2460749.5633982,2025,3,15,1,31,17.604,-11840.5298039839,-290347.579084258,-4953.13122246646,290631.120727006,1.29307734600162
346317.604,1620,2460749.56409264,2025,3,15,1,32,17.604,-11835.8081209511,-290270.218514887,-4950.27222624729,290553.59454956,1.29216430994276
346377.604,1680,2460749.56478709,2025,3,15,1,33,17.604,-11831.0894530937,-290192.916206866,-4947.31753606219,290476.125086202,1.29125373043164
346437.604,1740,2460749.56548153,2025,3,15,1,34,17.604,-11826.3738880232,-290115.672128121,-4944.2672093952,290398.712311072,1.29034562536144
346497.604,1800,2460749.56617598,2025,3,15,1,35,17.604,-11821.661513418,-290038.486245466,-4941.1213055954,290321.356197328,1.28944001245791
346557.604,1860,2460749.56687042,2025,3,15,1,36,17.604,-11816.9524168894,-289961.358524607,-4937.87988587551,290244.056717147,1.28853690927243
346617.604,1920,2460749.56756486,2025,3,15,1,37,17.604,-11812.2466860339,-289884.28893014,-4934.54301331077,290166.813841719,1.28763633318668
346677.604,1980,2460749.56825931,2025,3,15,1,38,17.604,-11807.5444084853,-289807.27742556,-4931.11075283754,290089.627541266,1.28673830141485
346737.604,2040,2460749.56895375,2025,3,15,1,39,17.604,-11802.8456718102,-289730.323973247,-4927.58317125206,290012.497785018,1.28584283098966
346797.604,2100,2460749.5696482,2025,3,15,1,40,17.604,-11798.1505635977,-289653.428534472,-4923.96033720908,289935.424541222,1.28494993878242
346857.604,2160,2460749.57034264,2025,3,15,1,41,17.604,-11793.4591713846,-289576.591069414,-4920.24232122042,289858.407777158,1.2840596414785
346917.604,2220,2460749.57103709,2025,3,15,1,42,17.604,-11788.7715827301,-289499.811537134,-4916.42919565356,289781.447459119,1.28317195559663
346977.604,2280,2460749.57173153,2025,3,15,1,43,17.604,-11784.087885119,-289423.089895587,-4912.52103473018,289704.543552409,1.28228689747482
347037.604,2340,2460749.57242597,2025,3,15,1,44,17.604,-11779.4081660882,-289346.426101634,-4908.5179145246,289627.696021373,1.28140448328139
347097.604,2400,2460749.57312042,2025,3,15,1,45,17.604,-11774.7325130999,-289269.820111023,-4904.41991296232,289550.904829361,1.28052472899977
347157.604,2460,2460749.57381486,2025,3,15,1,46,17.604,-11770.0610135794,-289193.271878402,-4900.22710981822,289474.169938747,1.27964765044039
347217.604,2520,2460749.57450931,2025,3,15,1,47,17.604,-11765.3937549442,-289116.78135732,-4895.93958671527,289397.491310934,1.27877326323492
347277.604,2580,2460749.57520375,2025,3,15,1,48,17.604,-11760.7308246195,-289040.348500215,-4891.55742712248,289320.868906336,1.27790158283742
347337.604,2640,2460749.5758982,2025,3,15,1,49,17.604,-11756.0723099262,-288963.973258433,-4887.08071635354,289244.3026844,1.27703262451909
347397.604,2700,2460749.57659264,2025,3,15,1,50,17.604,-11751.4182982296,-288887.65558221,-4882.50954156484,289167.792603584,1.27616640337717
347457.604,2760,2460749.57728709,2025,3,15,1,51,17.604,-11746.7688767835,-288811.395420697,-4877.84399175378,289091.338621382,1.27530293431686
347517.604,2820,2460749.57798153,2025,3,15,1,52,17.604,-11742.1241328716,-288735.19272193,-4873.084157757,289014.940694301,1.27444223207763
347577.604,2880,2460749.57867598,2025,3,15,1,53,17.604,-11737.484153755,-288659.047432852,-4868.23013224848,288938.598777875,1.27358431120939
